productname,productid,imagepath
Khoai tây,cfd0f7a0-8a74-4cce-8f07-f499ad31b3f5,productImage/cfd0f7a0-8a74-4cce-8f07-f499ad31b3f5_Khoaitây.jpg
Mãng Cầu Xiêm,96704e75-69ab-46f5-b2f5-d934baa205ee,productImage/96704e75-69ab-46f5-b2f5-d934baa205ee_MãngCầuXiêm.jpg
Bí đỏ,92cb63c7-2400-4c26-8b7e-40aa0228ef74,productImage/92cb63c7-2400-4c26-8b7e-40aa0228ef74_Bíđỏ.jpg
Rau Đay,5860deb7-6b4b-4d25-9f3c-b704b3906e34,productImage/5860deb7-6b4b-4d25-9f3c-b704b3906e34_RauĐay.jpg
Tắc (Quất),32a5dac6-d725-4677-9bcd-abe67387bf33,productImage/32a5dac6-d725-4677-9bcd-abe67387bf33_TắcQuất.jpg
Bí Xanh,bba9b794-28b8-4638-b8c8-47629c429733,productImage/bba9b794-28b8-4638-b8c8-47629c429733_BíXanh.jpg
Rau cải ngồng ,f30b9771-0d97-4ffd-98be-6acf59273a15,productImage/f30b9771-0d97-4ffd-98be-6acf59273a15_Raucảingồng.jpg
Lê,98d3b13b-a4ff-43d3-bba5-9d8b0612a5ca,productImage/98d3b13b-a4ff-43d3-bba5-9d8b0612a5ca_Lê.jpg
Cải Bẹ Xanh,1e72998a-7b8b-4315-adf7-91fa9121ffa6,productImage/1e72998a-7b8b-4315-adf7-91fa9121ffa6_CảiBẹXanh.jpg
Cải ngọt,87bac591-c1e2-4d26-bd58-e1c64e9733a9,productImage/87bac591-c1e2-4d26-bd58-e1c64e9733a9_Cảingọt.jpg
Vú Sữa,d9b9c823-f7cb-405b-a7f1-7c4ff2e38dee,productImage/d9b9c823-f7cb-405b-a7f1-7c4ff2e38dee_VúSữa.jpg
Xà Lách Mỡ,3bf1108e-4b62-4df5-b5b5-273e195e7379,productImage/3bf1108e-4b62-4df5-b5b5-273e195e7379_XàLáchMỡ.jpg
Nấm kim châm,a89617f7-ceb2-45d4-9647-57720450407d,productImage/a89617f7-ceb2-45d4-9647-57720450407d_Nấmkimchâm.jpg
Nhãn Lồng,e130af80-bc18-4858-be7a-a4f72194da8e,productImage/e130af80-bc18-4858-be7a-a4f72194da8e_NhãnLồng.jpg
Xà lách búp,bddfcaa8-5604-4119-a751-8215fa563107,productImage/bddfcaa8-5604-4119-a751-8215fa563107_Xàláchbúp.jpg
Mận Bắc,a57208a8-13d1-41ef-a742-35fa27a7135f,productImage/a57208a8-13d1-41ef-a742-35fa27a7135f_MậnBắc.jpg
Nấm rơm,9fed2633-01b1-406e-9031-829b0d1b3cfc,productImage/9fed2633-01b1-406e-9031-829b0d1b3cfc_Nấmrơm.jpg
Sầu Riêng Ri,6e7747f9-a868-4d35-93b6-8cc275f70ee2,productImage/6e7747f9-a868-4d35-93b6-8cc275f70ee2_SầuRiêngRi.jpg
Đọt Bí,4f6f26a6-ee7e-410b-92dd-5b0a191abee7,productImage/4f6f26a6-ee7e-410b-92dd-5b0a191abee7_ĐọtBí.jpg
Lá Mơ,c84ecb00-47d9-4064-a841-803e63df8f23,productImage/c84ecb00-47d9-4064-a841-803e63df8f23_LáMơ.jpg
Sơ Ri,e7693ed6-a5b4-4383-8e54-be1c40ac04fa,productImage/e7693ed6-a5b4-4383-8e54-be1c40ac04fa_SơRi.jpg
Vải Thiều,9b1acb85-0ccd-4afc-8a4c-19a59f810567,productImage/9b1acb85-0ccd-4afc-8a4c-19a59f810567_VảiThiều.jpg
Cải Bó Xôi,4e62bed0-f564-42c9-9593-3a050dbd90fa,productImage/4e62bed0-f564-42c9-9593-3a050dbd90fa_CảiBóXôi.jpg
Mít Tố Nữ,f2512fe1-a757-4e80-aecb-b04f62b4fd46,productImage/f2512fe1-a757-4e80-aecb-b04f62b4fd46_MítTốNữ.jpg
Cóc,c1113961-7957-41bf-9b34-7339c6fcf3b4,productImage/c1113961-7957-41bf-9b34-7339c6fcf3b4_Cóc.jpg
Ngò Gai,024afd3f-cecd-434e-a8d4-95814bcac773,productImage/024afd3f-cecd-434e-a8d4-95814bcac773_NgòGai.jpg
Cỏ ngọt,7ece191f-5a12-468b-aa29-dca3b690fd9c,productImage/7ece191f-5a12-468b-aa29-dca3b690fd9c_Cỏngọt.jpg
Bí Xanh,5588b666-2f4b-4d9c-99da-7fcf62fcb18a,productImage/5588b666-2f4b-4d9c-99da-7fcf62fcb18a_BíXanh.jpg
Ớt Chỉ Thiên,c119f0ef-da67-49fa-8018-1302a761003e,productImage/c119f0ef-da67-49fa-8018-1302a761003e_ỚtChỉThiên.jpg
Dưa Chuột,f4e7cca5-7bcb-4133-8572-328da7c75fba,productImage/f4e7cca5-7bcb-4133-8572-328da7c75fba_DưaChuột.jpg
Cải Thảo,f77d63b0-335c-49fe-b1e1-5bfaeb2815ac,productImage/f77d63b0-335c-49fe-b1e1-5bfaeb2815ac_CảiThảo.jpg
Cải Bẹ Xanh,e24af3cd-fc9f-400c-8c76-8aba05a803b5,productImage/e24af3cd-fc9f-400c-8c76-8aba05a803b5_CảiBẹXanh.jpg
Xà lách búp,d498e65c-5e5f-4cb9-8dc8-f2077663c60f,productImage/d498e65c-5e5f-4cb9-8dc8-f2077663c60f_Xàláchbúp.jpg
Nấm rơm,771df843-38b4-45ac-bbe2-1ea482b77860,productImage/771df843-38b4-45ac-bbe2-1ea482b77860_Nấmrơm.jpg
Nho Mỹ,fb3e75a3-4e51-4ff6-b295-408714d4f03d,productImage/fb3e75a3-4e51-4ff6-b295-408714d4f03d_NhoMỹ.jpg
Rau dền xanh,a3ef4a9b-0c76-48c0-95da-dfb895bcfce8,productImage/a3ef4a9b-0c76-48c0-95da-dfb895bcfce8_Raudềnxanh.jpg
Rau nhút,c38eadaf-8424-4f27-bb49-3f838ca26f28,productImage/c38eadaf-8424-4f27-bb49-3f838ca26f28_Raunhút.jpg
Cà Chua Bi,843b8fe6-27c5-4ddf-a6d2-9d4e2ab8a6c8,productImage/843b8fe6-27c5-4ddf-a6d2-9d4e2ab8a6c8_CàChuaBi.jpg
Ngò rí,4858f914-3a37-4bbf-8f26-2de12a62db42,productImage/4858f914-3a37-4bbf-8f26-2de12a62db42_Ngòrí.jpg
Tía tô,f685cea6-faf6-4e8c-83a6-700140484490,productImage/f685cea6-faf6-4e8c-83a6-700140484490_Tíatô.jpg
Ổi Hồng,595ecbc3-673a-4d2a-b389-1ab9820a0b33,productImage/595ecbc3-673a-4d2a-b389-1ab9820a0b33_ỔiHồng.jpg
Rau thì là,9b7dc030-0a26-4cb7-8545-f3f1b6e642ea,productImage/9b7dc030-0a26-4cb7-8545-f3f1b6e642ea_Rauthìlà.jpg
Xà Lách Tím,ee8aadd6-3875-41b4-846a-0ce5bb118452,productImage/ee8aadd6-3875-41b4-846a-0ce5bb118452_XàLáchTím.jpg
Cà rốt đỏ,0ab7dc44-b6d7-4e06-b2d7-54cd4115ee22,productImage/0ab7dc44-b6d7-4e06-b2d7-54cd4115ee22_Càrốtđỏ.jpg
Cà rốt đỏ,15ebe290-26c5-459b-80a6-5460995d67db,productImage/15ebe290-26c5-459b-80a6-5460995d67db_Càrốtđỏ.jpg
Ổi Hồng,7a0f989f-f75d-4983-be79-7cc80f0021c9,productImage/7a0f989f-f75d-4983-be79-7cc80f0021c9_ỔiHồng.jpg
Cải Bẹ Xanh,5e264091-95bf-4a75-bcc2-33960c09d499,productImage/5e264091-95bf-4a75-bcc2-33960c09d499_CảiBẹXanh.jpg
Cải Thảo,731051b8-9cce-4cbd-9afc-22d4c5c5d792,productImage/731051b8-9cce-4cbd-9afc-22d4c5c5d792_CảiThảo.jpg
Cải ngọt,5dd48644-da12-4b93-a89c-7dca9ac58eed,productImage/5dd48644-da12-4b93-a89c-7dca9ac58eed_Cảingọt.jpg
